id,doi,title,abstract,relevance_score
https://openalex.org/W3046427873,10.31390/gradschool_dissertations.5345,"Factor Predicting Maternal Posttraumatic Stress Symptom Trajectories Following a Natural Disaster: Coping, Social Support, and Family Functioning","Natural disasters are sudden, large-scale events that are associated with significant mental health consequences. Although, most individuals demonstrate resilience, a significant subset of the population develops significant long-term distress (La Greca et al. 2013; Lai, et al., 2015; Lowe & Rhodes 2013; Self-Brown et al., 2014). Moreover, results from emerging longitudinal research suggests that symptom patterns are heterogenous. For example, some individuals recover over time or demonstrate a delayed onset. The most commonly studied post-disaster reaction in adults is posttraumatic stress (PTS) symptoms. However, the extant literature examining elevated PTS symptoms and related risk factors in disaster research has relied largely on cross-sectional post-hoc designs, with few studies examining PTS symptom trajectories from a longitudinal perspective. The current study sought to build upon post-disaster recovery theory, by examining PTS trajectories in a diverse sample of primarily low-income mothers impacted by Hurricane Katrina, as well as identifying predictor variables (i.e., prior trauma, hurricane exposure, coping behavior, social support, and family functioning) associated with specific symptom trajectories. Data was collected over two years following the Hurricane Katrina (2005-2007). Utilizing Latent Class Growth Analysis, results revealed that a three-trajectory model (i.e., recovering, chronic, and resilient) best fit the data. Significant risk and protective factors differentiating trajectory membership included prior trauma, hurricane-related loss and disruption, social support, and children’s internalizing symptoms. Implications of study findings and directions for future research are discussed.",0.96241222
https://openalex.org/W2144310792,10.1111/jcpp.12420,Trajectories of post‐traumatic stress disorder symptoms among youth exposed to both natural and technological disasters,"Background Theorists and researchers have demonstrated multiple trajectories of symptoms following disasters ( Ecology and Society , 13 , 2008, 9), highlighting the importance of obtaining more knowledge about exposed youth who demonstrate resilience as well as those who suffer chronic difficulties. This paper examines trajectories of post‐traumatic stress disorder ( PTSD ) symptoms following exposure to hurricanes and the Deepwater Horizon Oil Spill to increase understanding of resilience and chronic reactions to both natural and technological disasters. Methods A multiwave longitudinal design was used to follow N = 4,619 youth who were evaluated for PTSD symptoms, hurricane exposure, and oil spill exposure/stress at four time points over a period of 4 years. Trajectories were identified with cluster analyses and multilevel modeling. Results Individual trajectories were statistically identified consistent with theory. The largest group exhibited stable‐low symptoms (52%), a second group showed steep declines following initial symptoms (21%), a third group exhibited increasing symptoms (18%), and a fourth group showed stable‐high symptoms (9%). Both hurricane exposure and oil spill stress predicted trajectories and overall levels of PTSD symptoms. Conclusions Results identified an effect of oil spill stress and hurricane exposure on symptom levels and trajectories of exposed youth. Results provide prospective data to support theories of multiple symptom trajectories following disasters and reinforce the importance of research that utilizes a developmental perspective to consider the long‐term effects of disasters in youth. Findings highlight the importance of identifying symptoms and predictors of resilience as well as factors that contribute to resilience.",0.957404215
https://openalex.org/W4213023858,10.1192/bjp.2022.2,Risk and resilience in trajectories of post-traumatic stress symptoms among first responders after the 2011 Great East Japan Earthquake: 7-year prospective cohort study,"Background First responders to disasters are at risk of developing post-traumatic stress disorder (PTSD). The trajectories of post-traumatic stress symptom severity differ among individuals, even if they are exposed to similar events. These trajectories have not yet been reported in non-Western first responders. Aims We aimed to explore post-traumatic stress symptom severity trajectories and their risk factors in first responders to the 2011 Great East Japan Earthquake (GEJE) – a historically large earthquake that resulted in a tsunami and a nuclear disaster. Method A total of 55 632 Japan Ground Self-Defense Force (JGSDF) personnel dispatched to the GEJE were enrolled in this 7-year longitudinal cohort study. PTSD symptom severity was measured using the Impact of Event Scale-Revised. Trajectories were identified using latent growth mixture models (LGMM). Nine potential risk factors for the symptom severity trajectories were analysed using multinomial logistic regression. Results Five symptom severity trajectories were identified: ‘resilient’ (54.8%), ‘recovery’ (24.6%), ‘incomplete recovery’ (10.7%), ‘late-onset’ (5.7%), and ‘chronic’ (4.3%). The main risk factors for the four non-resilient trajectories were older age, personal disaster experiences and working conditions. These working conditions included duties involving body recovery or radiation exposure risk, longer deployment length, later or no post-deployment leave and longer post-deployment overtime. Conclusions The majority of first responders to GEJE were resilient and developed few or no PTSD symptoms. A substantial minority experienced late-onset and chronic symptom severity trajectories. The identified risk factors can inform policies for prevention, early detection and intervention in individuals at risk of developing symptomatic trajectories.",0.955517515
https://openalex.org/W4294199880,10.1192/j.eurpsy.2022.629,Risk and Resilience in Trajectories of Post-Traumatic Stress Symptoms among First Responders after the 2011 Great East Japan Earthquake: a 7-year prospective cohort study,"Introduction First responders to disasters are at risk of developing post-traumatic stress disorder (PTSD). The trajectories of post-traumatic stress symptom severity differ among individuals, even if they are exposed to similar events. These trajectories have not yet been reported in non-Western first responders. Objectives We aimed to explore post-traumatic stress symptom severity trajectories and their risk factors in first responders to the 2011 Great East Japan Earthquake (GEJE)— a historically large earthquake that resulted in a tsunami and a nuclear disaster. Methods 56 388 Japan Ground Self-Defense Force (JGSDF) personnel dispatched to the GEJE were enrolled in this seven-year longitudinal cohort study. PTSD symptom severity was measured using the Impact of Event Scale-Revised (IES-R). Trajectories were identified using latent growth mixture models (LGMM). Nine potential risk factors for the symptom severity trajectories were analyzed using multinomial logistic regression. Results Five symptom severity trajectories were identified: “resilient” (54.7%), “recovery” (24.5%), “incomplete recovery” (10.7%), “late-onset” (5.7%), and “chronic” (4.3%). The main risk factors for the four non-resilient trajectories were older age, personal disaster experiences, and working conditions. These working conditions included duties involving body recovery or radiation exposure risk, longer deployment length, later or no post-deployment leave, and longer post-deployment overtime. Conclusions The majority of first responders to GEJE were resilient and developed few or no PTSD symptoms. A substantial minority experienced late-onset and chronic symptom severity trajectories. The identified risk factors can inform policies for prevention, early detection, and intervention in individuals at risk of developing symptomatic trajectories. Disclosure No significant relationships.",0.949393029
https://openalex.org/W2331818908,10.1037/abn0000020,Posttraumatic stress in deployed Marines: Prospective trajectories of early adaptation.,"We examined the course of PTSD symptoms in a cohort of U.S. Marines (N = 867) recruited for the Marine Resiliency Study (MRS) from a single infantry battalion that deployed as a unit for 7 months to Afghanistan during the peak of conflict there. Data were collected via structured interviews and self-report questionnaires 1 month prior to deployment and again at 1, 5, and 8 months postdeployment. Second-order growth mixture modeling was used to disaggregate symptom trajectories; multinomial logistic regression and relative weights analysis were used to assess the role of combat exposure, prior life span trauma, social support, peritraumatic dissociation, and avoidant coping as predictors of trajectory membership. Three trajectories best fit the data: a low-stable symptom course (79%), a new-onset PTSD symptoms course (13%), and a preexisting PTSD symptoms course (8%). Comparison in a separate MRS cohort with lower levels of combat exposure yielded similar results, except for the absence of a new-onset trajectory. In the main cohort, the modal trajectory was a low-stable symptoms course that included a small but clinically meaningful increase in symptoms from predeployment to 1 month postdeployment. We found no trajectory of recovery from more severe symptoms in either cohort, suggesting that the relative change in symptoms from predeployment to 1 month postdeployment might provide the best indicator of first-year course. The best predictors of trajectory membership were peritraumatic dissociation and avoidant coping, suggesting that changes in cognition, perception, and behavior following trauma might be particularly useful indicators of first-year outcomes.",0.948410186
https://openalex.org/W1540984113,10.1002/jts.21988,The Relationship Between Course of PTSD Symptoms in Deployed U.S. Marines and Degree of Combat Exposure,"Abstract Large cohort studies suggest that most military personnel experience minimal posttraumatic stress disorder (PTSD) symptoms following warzone deployment, an outcome often labeled resilience . Very low symptom levels, however, may be a marker for low exposure, not resilience, which requires relatively high‐magnitude or high‐frequency stress exposure as a precondition. We used growth mixture modeling (GMM) to examine the longitudinal course of lifetime PTSD symptoms following combat exposure by disaggregating deployed U.S. Marines into upper, middle, and lower tertiles of combat exposure. All factor models fit the data well; Tucker‐Lewis Index (TLI) and comparative fit index (CFI) values ranged from .91 to .97. Three distinct trajectories best explained the data within each tertile. The upper tertile comprised True Resilience (73.2%), New‐Onset Symptoms (18.3%), and Pre‐existing Symptoms (8.5%) trajectories. The middle tertile also comprised True Resilience (74.5%), New‐Onset Symptoms (16.1%), and Pre‐existing Symptoms (9.4%) trajectories. The lower tertile comprised Artifactual Resilience (86.3%), Pre‐existing Symptoms (7.6%), and New‐Onset Symptoms (6.1%) trajectories. True Resilience involved a clinically significant symptom increase followed by a return to baseline, whereas Artifactual Resilience involved consistently low symptoms. Conflating artifactual and true resilience may inaccurately create the expectation of persistently low symptoms regardless of warzone exposure.",0.939717356
https://openalex.org/W4385953032,10.1101/2023.08.14.23294068,Long-term Trajectories of Depressive Symptoms in Deployed Military Personnel: A 10-year prospective study,"Abstract Background Military missions are associated with an increased risk of depression. Understanding the long-term development of depressive symptoms after deployment is important to improve decision-making regarding deployment and mental health policies in the military. Therefore, this study aims to investigate trajectories of depressive symptoms from pre- to post-deployment and assess the role of specific factors, such as demographics, early life trauma, posttraumatic stress disorder (PTSD) symptoms and deployment stressors, in the Dutch army. Methods The study includes a cohort of 1032 military men and women deployed to Afghanistan between 2005 and 2008. From pre-to 10 years post-deployment (across 6 distinct time points), depressive and PTSD symptoms were assessed using the Symptom CheckList-90 (SCL-90) and the Self-Rating Inventory for PTSD (SRIP) respectively. Demographics, early trauma, and deployment experiences were collected at baseline and after deployment, respectively. Latent Class Growth Analysis was used to explore heterogeneity in developmental trajectories of depressive symptoms over time. Results The study identified four trajectories for depressive symptoms: resilient (65%), intermediate-stable (20%), symptomatic-chronic (9%), and late-onset-increasing (6%). The late-onset-increasing group had the highest proportion of individuals younger than 21 years. In addition, the resilient group was less likely to have experienced deployment stressors and the symptomatic-chronic group reported more early life traumas compared to the other groups. For individuals classified in trajectories with higher levels of depressive symptoms, PTSD symptoms were higher at all time points. Conclusions Multiple trajectories for depressive symptoms were identified in a military sample up to 10 years after deployment. These trajectories were associated with age, early trauma, deployment stressors and PTSD symptoms. The majority of the sample fell within the resilient trajectory, supporting the notion that deployed military personnel possess a high level of resilience. Overall, these findings provide valuable insights and a foundation for further research in this area.",0.939502317
https://openalex.org/W1138780896,10.1007/s12144-015-9362-6,Understanding Resilience and Other Trajectories of Psychological Distress: a Mixed-Methods Study of Low-Income Mothers Who Survived Hurricane Katrina,"Recent longitudinal studies in the aftermath of natural disasters have shown that resilience, defined as a trajectory of consistently low symptoms, is the modal experience, although other trajectories representing adverse responses, including chronic or delayed symptom elevations, occur in a substantial minority of survivors. Although these studies have provided insight into the prototypical patterns of postdisaster mental health, the factors that account for these patterns remain unclear. In the current analysis, we aimed to fill this gap through a mixed-methods study of female participants in the Resilience in Survivors of Katrina (RISK) study. Latent class growth analysis identified six trajectories of psychological distress in the quantitative sample (n = 386). Qualitative analysis of in-depth interviews with 54 participants identified predisaster, disaster-related and postdisaster experiences that could account for the trends in the quantitative data. In particular, preexisting and gains in psychosocial resources (e.g., emotion regulation, religiosity) and positive postdisaster impacts (e.g., greater neighborhood satisfaction, improved employment opportunities) were found to underlie resilience and other positive mental health outcomes. Conversely, experiences of childhood trauma, and pre and postdisaster stressors (e.g., difficulties in intimate partner relationships) were common among participants in trajectories representing adverse psychological responses. Illustrative case studies that exemplify each trajectory are presented. The results demonstrate the utility of mixed-methods analysis to provide a richer picture of processes underlying postdisaster mental health.",0.934579435
https://openalex.org/W2740952531,10.1002/jts.22199,Resilience and Posttraumatic Stress Disorder Symptoms in National Guard Soldiers Deployed to Iraq: A Prospective Study of Latent Class Trajectories and Their Predictors,"This study examined the prospective course of posttraumatic stress disorder (PTSD) symptoms in a cohort of National Guard soldiers ( N = 522) deployed to combat operations in Iraq. Participants were assessed 4 times: 1 month before deployment, 2–3 months after returning from deployment, 1 year later, and 2 years postdeployment. Growth mixture modeling revealed 3 distinct trajectories: low‐stable symptoms, resilient, 76.4%; new‐onset symptoms, 14.2%; and chronic distress, 9.4%. Relative to the resilient class, membership in both the new‐onset symptoms and chronic distress trajectory classes was predicted by negative emotionality/neuroticism, odds ratios ( OR s) = 1.09, 95% CI [1.02, 1.17], and OR = 1.22, 95% CI [1.09,1.35], respectively; and combat exposure, OR = 1.07, 95% CI [1.02, 1.12], and OR = 1.12, 95% CI [1.02, 1.24], respectively. Membership in the new‐onset trajectory class was predicted by predeployment military preparedness, OR = 0.95, 95% CI [0.91, 0.98], perceived threat during deployment, OR = 1.07, 95% CI [1.03, 1.10], and stressful life events following deployment, OR = 1.44, 95% CI [1.05, 1.96]. Prior deployment to Iraq or Afghanistan, OR = 3.85, 95% CI [1.72, 8.69], predeployment depression, OR = 1.27, 95% CI [1.20, 1.36], and predeployment concerns about a deployment's impact on civilian/family life, OR = 1.09, 95% CI [1.02, 1.16], distinguished the chronic distress group relative to the resilient group. Identifying predeployment vulnerability and postdeployment contextual factors provides insight for future efforts to bolster resilience, prevent, and treat posttraumatic symptoms.",0.934476351
https://openalex.org/W2906356083,10.1371/journal.pone.0209757,Trajectories of prolonged grief one to six years after a natural disaster,"Background The long-term trajectories of prolonged grief are poorly understood. The aims were to examine the course of grief among bereaved disaster survivors up to six years post loss and factors predicting worse bereavement outcome. A third aim was to explore differences in grief indicators between trajectories. Methods Bereaved Swedish tourists who survived the 2004 Indian Ocean tsunamis responded to surveys including the Inventory of Complicated Grief 1 to 6 years after the disaster. Latent growth mixture modeling was used to identify longitudinal trajectories of grief. Multinomial logistic regression analysis was used to examine predictors of class membership. Results Three trajectories were identified: resilient (41% of the sample), recovering (48%), and chronic (11%). The strongest predictor of chronic grief was the loss of one’s child. When examining grief indicators, the chronic trajectory was characterized by not accepting the loss, while yearning was common in all trajectories. Conclusions This study highlights the importance of considering how traumatically bereaved individuals can be affected by loss for several years after a disaster, especially after losing one’s child. An inability to accept the loss, more so than yearning, appears to characterize bereaved survivors at risk of a chronic trajectory of grief.",0.933095985
