id,doi,title,abstract,rank
https://openalex.org/W2793121854,10.1080/20008198.2018.1443672,Pre-deployment dissociation and personality as risk factors for post-deployment post-traumatic stress disorder in Danish soldiers deployed to Afghanistan,"Objective: This study investigated whether pre-deployment dissociation was associated with previously identified post-traumatic stress disorder (PTSD) symptom trajectories from before to 2.5 years after military deployment. Furthermore, it examined whether the tendency to dissociate, pre-deployment personality factors, conceptualized by the Big Five model, and previous trauma represented independent risk factors for post-deployment PTSD symptoms. Method: This prospective study included the entire team of 743 soldiers from the Danish Contingent of the International Security Assistance Force 7 deployed to Afghanistan in 2009. Data consisted of self-report measures and were collected six times: before deployment; during deployment; and 1-3 weeks, 2 months, 7 months and 2.5 years after homecoming. Results: The findings indicate significant associations between pre-deployment dissociation and six PTSD trajectories (p < 0.001, η2 = 0.120). Based on mean differences in dissociation for the six trajectories, two main groups emerged: a group with high dissociation scores at pre-deployment, which had moderate PTSD symptom levels at pre-deployment and fluctuated over time; and a group with low dissociation scores at pre-deployment, which had low initial PTSD symptom levels and diverged over time. Our study also confirmed previous findings of a positive association between neuroticism and dissociation (r = 0.31, p < 0.001). This suggests that negative emotionality may be a vulnerability that enhances dissociative experiences, although a causal link cannot be concluded from the findings. Finally, pre-deployment dissociation, pre-deployment neuroticism and a history of traumatic events, as independent factors, were significant predictors of post-deployment PTSD (p < 0.001, R2 = 0.158). Conclusions: The study emphasizes the multiplicity of factors involved in the development of PTSD, and group differences in dissociative symptoms support the heterogeneity in PTSD. Further, this study points to specific aspects of personality that may be targeted in a clinical setting and in pre-deployment assessments in the military.Objetivo: En este estudio investigamos si la disociación previa a un despliegue militar estaba asociada con trayectorias de síntomas de TEPT previamente identificadas desde antes hasta 2,5 años después del despliegue militar. Además, examinamos si la tendencia a disociarse, los factores de personalidad previos al despliegue, conceptualizados por el modelo Big Five y el trauma previo, representaban factores de riesgo independientes para los síntomas de TEPT posteriores al despliegue.Método: El estudio prospectivo actual incluyó a todo el equipo de 743 soldados del contingente danés de la Fuerza de Asistencia Internacional a la Seguridad Internacional 7 desplegados en Afganistán en 2009. Los datos consistieron en medidas de autoinforme, y se recogieron 6 veces: antes del despliegue, durante el despliegue. 1–3 semanas después del regreso al hogar, 2 meses después del regreso al hogar, 7 meses después del regreso al hogar y 2.5 años después del regreso al hogar.Resultados: Los hallazgos indican asociaciones significativas entre la disociación previa al despliegue y seis trayectorias de TEPT (p < 0.001, η2 = 0.120), y en base a diferencias medias en la disociación para las seis trayectorias surgieron dos grupos principales: Un grupo con puntuaciones de disociación altas previas al despliegue, que tenían niveles moderados de síntomas de TEPT antes del despliegue y fluctuaban con el tiempo. Un segundo grupo con puntuaciones de disociación bajas previas al despliegue, que tenían bajos niveles iniciales de síntomas de TEPT y divergían con el tiempo. Además, nuestro estudio confirmó los hallazgos previos sobre una asociación positiva entre el neuroticismo y la disociación (r = 0.31, p < 0.001). Esto podría sugerir que la emocionalidad negativa puede ser una vulnerabilidad que aumenta las experiencias disociativas, aunque no se puede concluir un vínculo causal a partir de los hallazgos. Finalmente, la disociación previa al despliegue, el neuroticismo previo al despliegue y una historia de eventos traumáticos, como factores independientes, fueron predictores significativos de TEPT posterior al despliegue (p < 0.001, R2 = 0.158).Conclusiones: El estudio enfatiza la multiplicidad de factores involucrados en el desarrollo del TEPT y las diferencias grupales en los síntomas disociativos apoyan la heterogeneidad en el TEPT. Además, este estudio apunta a aspectos específicos de la personalidad en los que se puede trabajarse en un entorno clínico, así como en las evaluaciones previas al despliegue en el ejército.目标：在本研究中我们考察了入伍前的分离症状是否和从入伍前到入伍2.5年后的PTSD 症状轨迹相关联。进一步，我们考察了这种分离倾向性、入伍前的人格因子（大五模型）和前期创伤是否代表了不同的入伍后 PTSD风险因子。方法： 本前瞻研究包括2009年阿富汗国际维和部队丹麦分遣队的全部743名士兵，数据包括在6个时间点收集的自评测量：入伍前、服役中，复员1-3周后、2个月、7个月和2.5年后。结果：研究的发现指出入伍前分离和六个 PTSD 轨迹的显著关联 (p < 0.001, η2 = 0.120)，根据六个轨迹的分离症状平均数差异，出现了两个主要分组：一个组入伍前高分离，同时有中等的 PTSD 症状，并随着时间波动；第二个组在入伍前低分离，并有较低的 PTSD 症状水平但随着时间出现分支。另外，我们的研究验证了前人发现，说明神经质和分离之间的正相关 (r = 0.31, p < 0.001)。这可能提示负面情绪可能是增加分离体验的易感因素，尽管还不能从这些发现出总结出因果链。最后，作为独立因素的入伍前分离、入伍前神经质和创伤事件历史，都是服役后 PTSD 的显著预测指标。结论：本研究强调了在 PTSD 发展中多种因子，还有分离症状支持 PTSD 的异质性的组间差异。本研究更进一步指出在临床设置和军队入伍前评估中可能需要关注一些独特的人格特质。.",0
https://openalex.org/W3179801679,10.1080/10615806.2021.1950694,The impact of political violence on posttraumatic stress symptomology: a longitudinal analysis,"Objective The current paper uses the Conservation of Resources Theory to frame an examination of the impact of exposure to political violence on posttraumatic stress symptomology among three groups within Israeli society: (1) Native Born Jews; (2) Foreign Born Jews; and (3) Palestinian Citizens of Israel.Methods The study population was a large nationally representative sample of 1613 respondents collected during The Second Intifada. The sample consists of approximately 40% Jews born in Israel (n = 652), 30% (n = 484) were Jews who immigrated to Israel, and close to 30% (n = 477) were Palestinian Citizens of Israel. Mediation analyses explored the role of resource loss in the relationship between social status and posttraumatic stress disorder (PTSD) symptom severity.Results Compared to native born Jews, foreign born Jews and Palestinian Citizens of Israel reported greater PTSD symptom severity at wave III. These relationships were not mediated by psychosocial resource loss or economic resource loss.Conclusions We discuss the importance of tailored interventions with minority groups in the context of ongoing political violence.",0
https://openalex.org/W3128621410,10.1016/j.jad.2021.01.086,Understanding trajectories of underlying dimensions of posttraumatic psychopathology,"Research suggests four modal trajectories of psychological symptoms after traumatic injury: Resilient, Chronic, Delayed Onset, Recovery. However, most studies focus on symptoms of psychiatric disorders (e.g., posttraumatic stress disorder, depression), which are limited by heterogeneity and symptom overlap. We examined trajectories of cross-cutting posttraumatic symptom dimensions following traumatic injury and predictors of trajectory membership.In this longitudinal study of 427 predominantly Hispanic/Latino traumatic injury survivors, posttraumatic psychopathology symptoms were assessed during hospitalization and approximately one and five months post-trauma. Using latent class growth analysis, we estimated trajectories of several posttraumatic symptom dimensions: re-experiencing, avoidance, anxious arousal, numbing, dysphoric arousal, loss, and threat. We then examined sociodemographic and trauma-related characteristics (measured during hospitalization) as predictors of trajectory membership for each dimension.Four trajectories (Resilient, Chronic, Delayed Onset, Recovery) emerged for all dimensions except loss and threat, which manifested three trajectories (Resilient, Chronic, Delayed Onset). Across dimensions, membership in the Chronic (vs. Resilient) trajectory was consistently predicted by unemployment (7 of 7 dimensions), followed by older age (3/7), female sex (3/7), and assaultive trauma (2/7). For several dimensions, unemployment also distinguished between participants who presented with similar symptom levels days after trauma, but then diverged over time.Measures of posttraumatic symptom dimension constructs differed across assessments.This study provides evidence of distinct trajectories across transdiagnostic symptom dimensions after traumatic injury. Employment status emerged as the most important predictor of trajectory membership. Research is needed to better understand the etiologies and consequences of these posttraumatic symptom dimension trajectories.",0
https://openalex.org/W2195260412,10.1002/jts.22055,Mental Health Over Time in a Military Sample: The Impact of Alcohol Use Disorder on Trajectories of Psychopathology After Deployment,"To identify trajectories of depression and posttraumatic stress (PTS) symptom groups after deployment and determine the effect of alcohol use disorder on these trajectories, depression symptoms were modeled using the 9-item Patient Health Questionnaire in 727 Ohio National Guard members, and PTS symptoms were modeled using the PTSD Checklist in 472 Ohio National Guard members. There were 55.8% who were resistant to depression symptoms across the 4 years of study, and 41.5% who were resistant to PTS symptoms. There were 18.7% and 42.2% of participants who showed resilience (experiencing slightly elevated symptoms followed by a decline, according to Bonanno et al., 2002) to depression and PTS symptoms, respectively. Mild and chronic dysfunction constituted the smallest trajectory groups across disorders. Marital status, deployment to an area of conflict, and number of lifetime stressors were associated with membership into different latent groups for depression (unstandardized β estimates range = 0.69 to 1.37). Deployment to an area of conflict, number of lifetime traumatic events and education predicted membership into different latent groups for PTS (significant unstandardized β estimate range = 0.83 to 3.17). AUD was associated with an increase in both symptom outcomes (significant unstandardized β estimate range = 0.20 to 9.45). These results suggested that alcohol use disorder may have contributed substantially to trajectories of psychopathology in this population.",0
https://openalex.org/W3027965607,10.1093/schbul/sbaa028.016,O3.5. EARLY TRAJECTORIES OF POSITIVE SYMPTOMS REMISSION IN FIRST EPISODE-PSYCHOSIS: A 2-YEAR FOLLOW-UP STUDY,"Abstract Background The Prevention and Early intervention Program for Psychosis (PEPP) provides young people with first episode psychosis (FEP) rapid access to appropriate mental health services designed on the principles of early intervention (EI). We have previously demonstrated high rates of positive symptom (PS) remission. However, the relationship between PS, negative symptoms (NS) and functional outcomes remains unclear. Adherence to medication and early treatment response have been shown to be important independent determinants of the level of, and time to, symptom and functional remission, respectively. While trajectories of symptom severity have been shown to be heterogeneous, no previous study has investigated the prognosis of PS remission among individuals with FEP treated in an EI service. Identification of different trajectories of PS remission is a useful strategy to provide insight into clinically meaningful subgroups of patients while providing valuable information on NS and functioning for improving treatment outcomes. Methods The 2-year treatment at PEPP comprises different psychosocial (i.e., cognitive behavioral therapy, group intervention, family intervention, individual placement and support program) and psychopharmacological interventions (i.e., minimum effective dosage of second-generation antipsychotics). Monthly assessments were conducted from baseline to month 24. A total of 387 FEP patients, aged 14–35 years, with DSM IV affective or non-affective psychosis and little or no prior antipsychotic treatment (i.e., &amp;lt; 30 days) were included. PS remission was defined as absence of overt psychotic symptoms (i.e., all global SAPS items ≤ 2). A Latent Class Growth Analysis (LCGA) was used to investigate the distinct trajectories based on cumulative length of PS remission assessed at 3, 6, 9, 12, 15, 18, 21, and 24 months of treatment. Predictors of trajectories were investigated among sociodemographic, pre-treatment, as well as baseline and course clinical characteristics. Chi-square tests, one-way and mixed ANOVAs identified which baseline and longitudinal variables differed between and within trajectories. Candidate predictors that were statistically significant were then entered into a multinomial regression model to determine which factors independently predict trajectory membership. Results Three distinct trajectories of PS remission were identified. Excellent (68%), unstable (15%) and poor (17%) trajectory. Trajectories differed at baseline in DUP, diagnosis of affective psychosis and PS severity. Over the 24 months of treatment, negative, depressive, anxiety and mania symptoms, as well as functioning, best improved in the excellent trajectory among which patients were prescribed less antipsychotics in term of chlorpromazine equivalent than patients in other trajectories. Multinomial regression of baseline characteristics revealed that absence of early treatment response at 3 months (adjusted OR=2.53; 95%CI=1.24–5.16) independently predicted poorer trajectory. Discussion These results highlight the heterogeneous prognosis of PS remission suggesting that the diversity in FEP response and phenotypes may be determined by different pathophysiological underpinnings. The fact that early response was found to be a strong predictor of PS remission supports early and adequate symptom control for which medication is a critical issue. Further research applying data-driven trajectory analysis in FEP is warranted to facilitate better characterization of longer-term patterns of remission and development of targeted intervention to promote early recovery.",0
https://openalex.org/W2963339722,10.4992/pacjpa.82.0_3pm-028,Trajectories of mental health of victims after the Great East Japan Earthquake: Analysis by Group-based trajectory models,,0
https://openalex.org/W2068353782,10.1016/j.socscimed.2014.11.032,Mental health and general wellness in the aftermath of Hurricane Ike,"Exposure to natural disasters has been linked to a range of adverse outcomes, including mental health problems (e.g., posttraumatic stress symptoms [PTSS], depression), declines in role functioning (e.g., occupational difficulties), and physical health problems (e.g., somatic complaints). However, prior research and theory suggest that the modal postdisaster response in each of these domains is resilience, defined as low levels of symptoms or problems in a given outcome over time, with minimal elevations that are limited to the time period during the disaster and its immediate aftermath. However, the extent to which disaster survivors exhibit mental health wellness (resilience across multiple mental health conditions) or general wellness (resilience across mental health, physical health, and role functioning domains) remains unexplored. The purpose of this study was to quantify mental health and general wellness, and to examine predictors of each form of wellness, in a three-wave population-based study of Hurricane Ike survivors (N = 658). Latent class growth analysis was used to determine the frequency of resilience on four outcomes (PTSS: 74.9%; depression: 57.9%; functional impairment: 45.1%; days of poor health: 52.6%), and cross-tabulations were used to determine the frequency of mental health wellness (51.2%) and general wellness (26.1%). Significant predictors of both mental health and general wellness included lower peri-event emotional reactions and higher community-level collective efficacy; loss of sentimental possessions or pets and disaster-related financial loss were negative predictors of mental health wellness, and loss of personal property was a negative predictor of general wellness. The results suggest that studies focusing on a single postdisaster outcome may have overestimated the prevalence of mental health and general wellness, and that peri-event responses, personal property loss and collective efficacy have a cross-cutting influence across multiple domains of postdisaster functioning.",0
https://openalex.org/W2469845789,10.1016/j.jpsychires.2016.07.003,"Risk, coping and PTSD symptom trajectories in World Trade Center responders","Trajectories of disaster-related posttraumatic stress disorder (PTSD) symptoms are often heterogeneous, and associated with common and unique risk factors, yet little is known about potentially modifiable psychosocial characteristics associated with low-symptom and recovering trajectories in disaster responders. A total of 4487 rescue and recovery workers (1874 police and 2613 non-traditional responders) involved during and in the aftermath of the unprecedented World Trade Center (WTC) attacks, were assessed an average of 3, 6, 8, and 12 years post-9/11/2001. Among police responders, WTC-related PTSD symptoms were characterized by four trajectories, including no/low-symptom (76.1%), worsening (12.1%), improving (7.5%), and chronic (4.4%) trajectories. In non-traditional responders, a five-trajectory solution was optimal, with fewer responders in a no/low-symptom trajectory (55.5%), and the remainder in subtly worsening (19.3%), chronic (10.8%), improving (8.5%), and steeply worsening (5.9%) trajectories. Consistent factors associated with symptomatic PTSD trajectories across responder groups included Hispanic ethnicity, pre-9/11 psychiatric history, greater WTC exposure, greater medical illness burden, life stressors and post-9/11 traumas, and maladaptive coping (e.g., substance use, avoidance coping). Higher perceived preparedness, greater sense of purpose in life, and positive emotion-focused coping (e.g., positive reframing, acceptance) were negatively associated with symptomatic trajectories. Findings in this unique cohort indicate considerable heterogeneity in WTC-related PTSD symptom trajectories over 12 years post-9/11/2001, with lower rates of elevated PTSD symptoms in police than in non-traditional responders. They further provide a comprehensive risk prediction model of PTSD symptom trajectories, which can inform prevention, monitoring, and treatment efforts in WTC and other disaster responders.",0
https://openalex.org/W2070289918,10.1016/j.jad.2014.09.021,"Trajectories of posttraumatic stress symptoms (PTSS) after major war among Palestinian children: Trauma, family- and child-related predictors","Research shows great individual variation in changes in posttraumatic stress symptoms (PTSSs) after major traumas of terrorist attacks, military combat, and natural disasters. Earlier studies have identified specific mental health trajectories both in children and adults. This study aimed, first, to identify potential PTSS-related trajectories by using latent class growth analyses among children in a three-wave assessment after the 2008/2009 War on Gaza, Palestine. Second, it analyzed how family- and child related factors (e.g., attachment relations, posttraumatic cognitions (PTCs), guilt, and emotion regulation) associate with the trajectory class membership. The sample consisted of 240 Palestinian children (49.4% girls and 50.6% boys) of 10–13 years of age (M=11.29, SD=0.68), who completed PTSS (CRIES) assessments at 3 (T1), 5 (T2), and 11 (T3) months after the war. Children reported their personal exposure to war trauma, attachment style, cognitive trauma processing, and emotion regulation, and their parents reported family war trauma exposure and attachment style. Results revealed a three-trajectory solution, a majority of children belonging to the Recovery trajectory (n=183), and a minority belonged either to Resistant trajectory (n=29) or to Increasing symptoms trajectory (n=28). Low levels of negative posttraumatic cognitive appraisals, feelings of guilt and emotion regulation were characteristic of children in the Resistant trajectory as compared to Increasing symptoms trajectory. Father׳s attachment security was further associated with the Resistant trajectory membership. Children׳s attachment avoidance and high parental trauma were typical to children in Recovery trajectory (as compared to the Increasing symptoms trajectory).",0
https://openalex.org/W2794376726,10.1080/20008198.2018.1439649,"Family systems approach to attachment relations, war trauma, and mental health among Palestinian children and parents","Background: Trauma affects the family unit as a whole; however, most existing research uses individual or, at most, dyadic approaches to analyse families with histories of trauma.Objective: This study aims to identify potentially distinct family types according to attachment, parenting, and sibling relations, to analyse how these family types differ with respect to war trauma, and to explore how children’s mental health and cognitive processing differ across these family types.Method: Participants included Palestinian mothers and fathers (N = 325) and their children (one per family; 49.4% girls; 10–13 years old; mean ± SD age = 11.35 ± 0.57 years) after the Gaza War of 2008–2009. Both parents reported their exposure to war trauma, secure attachment availability, and parenting practices, as well as the target child’s internalizing and externalizing symptoms [Strengths and Difficulties Questionnaire (SDQ)]. Children reported their symptoms of post-traumatic stress disorder (on the Children’s Revised Impact Event Scale), depression (Birleson), and SDQ, as well as their post-traumatic cognitions (Children’s Post Traumatic Cognitions Inventory).Results: A cluster analysis identified four family types. The largest type reflected secure attachment and optimal relationships (security and positive family relationships, 36.2%, n = 102), and the smallest exhibited insecurity and problematic relationships (insecurity and negative family relationships, 15.6%; n = 44). Further, families with discrepant experiences (23.0%; n = 65) and moderate security and neutral relationships (25.2%; n = 71) emerged. The insecurity and negative relationships family type showed higher levels of war trauma; internalizing, externalizing, and depressive symptoms among children; and dysfunctional post-traumatic cognitions than other family types.Conclusion: The family systems approach to mental health is warranted in war conditions, and therapeutic interventions for children should, thus, also involve parents and siblings. Knowledge of unique family attachment patterns is fruitful for tailoring therapeutic treatments and preventive interventions for war-affected children and families.",1
